lat,lon,nombre
37.5758418,-6.1106715,790
37.7415522,-6.1751423,768
37.9050855,-6.2136165,747
38.0355905,-6.2241241,730
36.4986991,-5.0131081,172
38.110493,-6.2709158,719
36.6821618,-4.4627662,5
36.7161591,-4.4581929,8
36.7108229,-4.518862,63
36.7112844,-4.5267627,62
36.7108247,-4.5306266,64
36.7157513,-4.5549787,61
36.7183212,-4.6171677,54
36.7173287,-4.6253969,54
36.7159748,-4.6463967,52
36.7155415,-4.6474679,52
36.7190765,-4.5894278,57
36.5375004,-4.6343624,1016
36.5297188,-4.6286193,1017A
36.5331306,-4.6318936,1017A
36.5077658,-4.6454905,1020
37.3426195,-6.6801587,60
37.2692509,-5.5016701,nodo_356493216
37.2764626,-5.4490486,49A
37.2699941,-5.4984798,nodo_356495419
37.2734086,-5.4444062,49
37.2450781,-5.390176,nodo_356624640
37.2303856,-5.3000003,65
37.233136,-5.2109568,nodo_357954523
37.2311704,-5.2544458,nodo_357954564
37.2362913,-5.1313211,80
37.2323679,-5.1675132,nodo_357954822
37.2354142,-5.1284295,80
37.2282968,-5.1113964,82
37.2911266,-7.4868513,2
